record_key,doi,first_author,year,title,source,decision,exclude_reason,maps_to_study_key,screened_by,notes
gagnaire2003,10.1016/j.fsi.2003.08.007,Gagnaire,2003,"In vitro effects of cadmium and mercury on Pacific oyster, Crassostrea gigas (Thunberg), haemocytes",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
phillips2002,10.1890/0012-9658(2002)083[2562:eonmlc]2.0.co;2,Phillips,2002,EFFECTS OF NUTRITION-MEDIATED LARVAL CONDITION ON JUVENILE PERFORMANCE IN A MARINE MUSSEL,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
goulletquer1997,NR,Goulletquer,1997,Marine Molluscan Production Trends in France: From Fisheries to Aquaculture,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
younes2015,10.3390/md13031133,Younes,2015,"Chitin and Chitosan Preparation from Marine Sources. Structure, Properties and Applications",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
rosado2018,10.1038/s41396-018-0323-6,Rosado,2018,Marine probiotics: increasing coral resistance to bleaching through microbiome manipulation,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
byrne2013,10.1093/icb/ict049,Byrne,2013,Multistressor Impacts of Warming and Acidification of the Ocean on Marine Invertebrates' Life Histories,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
eziefula2018,10.1016/j.conbuildmat.2018.10.096,Eziefula,2018,Properties of seashell aggregate concrete: A review,openalex,exclude,review,,auto-screen,title indicates review/perspective
lucifero2004,10.1093/hmg/ddh104,Lucifero,2004,Gene-specific timing and epigenetic memory in oocyte imprinting,openalex,exclude,not-marine,,auto-screen,priming language but not marine taxon
talmage2010,10.1073/pnas.0913804107,Talmage,2010,"Effects of past, present, and future ocean carbon dioxide concentrations on the growth and survival of larval shellfish",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
highsmith1982,10.3354/meps007207,Highsmith,1982,Reproduction by Fragmentation in Corals,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
